,Country,year,HappinessScore,Happiness Rank,Economy (GDP per Capita),Health (Life Expectancy),Freedom
0,Switzerland,2015,7.587000000000001,1,1.3965100000000001,0.9414299999999999,0.66557
1,Iceland,2015,7.561,2,1.3023200000000001,0.94784,0.6287699999999999
2,Denmark,2015,7.527,3,1.32548,0.87464,0.6493800000000001
3,Norway,2015,7.522,4,1.459,0.88521,0.66973
4,Canada,2015,7.4270000000000005,5,1.32629,0.9056299999999999,0.63297
5,Finland,2015,7.406000000000001,6,1.29025,0.8891100000000001,0.64169
6,Netherlands,2015,7.377999999999999,7,1.32944,0.89284,0.6157600000000001
7,Sweden,2015,7.364,8,1.33171,0.9108700000000001,0.6598
8,New Zealand,2015,7.2860000000000005,9,1.2501799999999998,0.9083700000000001,0.6393800000000001
9,Australia,2015,7.284,10,1.33358,0.93156,0.6512399999999999
10,Israel,2015,7.278,11,1.2285700000000002,0.9138700000000001,0.41318999999999995
11,Costa Rica,2015,7.226,12,0.95578,0.8602700000000001,0.63376
12,Austria,2015,7.2,13,1.33723,0.8904200000000001,0.62433
13,Mexico,2015,7.187,14,1.02054,0.8144399999999999,0.48181
14,United States,2015,7.119,15,1.3945100000000001,0.86179,0.54604
15,Brazil,2015,6.983,16,0.98124,0.69702,0.49049
16,Luxembourg,2015,6.946000000000001,17,1.5639100000000001,0.91894,0.61583
17,Ireland,2015,6.94,18,1.33596,0.89533,0.6177699999999999
18,Belgium,2015,6.937,19,1.30782,0.8966700000000001,0.5845
19,United Arab Emirates,2015,6.901,20,1.42727,0.80925,0.64157
20,United Kingdom,2015,6.867000000000001,21,1.26637,0.90943,0.59625
21,Oman,2015,6.853,22,1.36011,0.76276,0.63274
22,Venezuela,2015,6.81,23,1.04424,0.7205199999999999,0.42908
23,Singapore,2015,6.797999999999999,24,1.52186,1.02525,0.54252
24,Panama,2015,6.7860000000000005,25,1.0635299999999999,0.79661,0.5421
25,Germany,2015,6.75,26,1.32792,0.89186,0.6147699999999999
26,Chile,2015,6.67,27,1.10715,0.85857,0.44132
27,Qatar,2015,6.611000000000001,28,1.69042,0.79733,0.6404
28,France,2015,6.575,29,1.27778,0.9457899999999999,0.55011
29,Argentina,2015,6.574,30,1.05351,0.78723,0.44974
30,Czech Republic,2015,6.505,31,1.17898,0.84483,0.46363999999999994
31,Uruguay,2015,6.485,32,1.06166,0.8116,0.6036199999999999
32,Colombia,2015,6.477,33,0.91861,0.69077,0.53466
33,Thailand,2015,6.455,34,0.9669,0.7385,0.5566399999999999
34,Saudi Arabia,2015,6.4110000000000005,35,1.39541,0.72025,0.31048000000000003
35,Spain,2015,6.329,36,1.23011,0.95562,0.45951000000000003
36,Malta,2015,6.3020000000000005,37,1.2074,0.88721,0.60365
37,Taiwan,2015,6.297999999999999,38,1.29098,0.8753,0.3974
38,Kuwait,2015,6.295,39,1.5542200000000002,0.72492,0.55499
39,Suriname,2015,6.269,40,0.99534,0.6082,0.5965699999999999
40,Trinidad and Tobago,2015,6.167999999999999,41,1.21183,0.61483,0.55884
41,El Salvador,2015,6.13,42,0.76454,0.67737,0.4035
42,Guatemala,2015,6.122999999999999,43,0.74553,0.64425,0.57733
43,Uzbekistan,2015,6.002999999999999,44,0.63244,0.59772,0.6582100000000001
44,Slovakia,2015,5.995,45,1.1689100000000001,0.7890199999999999,0.31751
45,Japan,2015,5.987,46,1.27074,0.99111,0.49615
46,South Korea,2015,5.984,47,1.24461,0.9653799999999999,0.33208000000000004
47,Ecuador,2015,5.975,48,0.8640200000000001,0.79075,0.48573999999999995
48,Bahrain,2015,5.96,49,1.32376,0.74716,0.45492
49,Italy,2015,5.9479999999999995,50,1.25114,0.9544600000000001,0.26236
50,Bolivia,2015,5.89,51,0.68133,0.5392,0.57414
51,Moldova,2015,5.888999999999999,52,0.59448,0.61826,0.32818
52,Paraguay,2015,5.877999999999999,53,0.75985,0.66098,0.53899
53,Kazakhstan,2015,5.855,54,1.1225399999999999,0.64368,0.51649
54,Slovenia,2015,5.848,55,1.18498,0.8733700000000001,0.60855
55,Lithuania,2015,5.832999999999999,56,1.14723,0.73128,0.21341999999999997
56,Nicaragua,2015,5.827999999999999,57,0.59325,0.7431399999999999,0.55475
57,Peru,2015,5.824,58,0.9001899999999999,0.73017,0.41496000000000005
58,Belarus,2015,5.813,59,1.0319200000000002,0.7360800000000001,0.37938
59,Poland,2015,5.791,60,1.12555,0.77903,0.53122
60,Malaysia,2015,5.77,61,1.12486,0.7239399999999999,0.5302399999999999
61,Croatia,2015,5.7589999999999995,62,1.08254,0.78805,0.25883
62,Libya,2015,5.754,63,1.13145,0.7038,0.41668
63,Russia,2015,5.716,64,1.13764,0.6692600000000001,0.36679
64,Jamaica,2015,5.709,65,0.81038,0.6874100000000001,0.50442
65,North Cyprus,2015,5.695,66,1.2080600000000001,0.92356,0.49027
66,Cyprus,2015,5.689,67,1.20813,0.92356,0.40671999999999997
67,Algeria,2015,5.605,68,0.93929,0.61766,0.28579
68,Kosovo,2015,5.5889999999999995,69,0.80148,0.63132,0.24749000000000002
69,Turkmenistan,2015,5.547999999999999,70,0.95847,0.53886,0.4761
70,Mauritius,2015,5.477,71,1.0076100000000001,0.7095,0.56066
71,Hong Kong,2015,5.474,72,1.38604,1.01328,0.59608
72,Estonia,2015,5.428999999999999,73,1.15174,0.77361,0.44888
73,Indonesia,2015,5.399,74,0.8282700000000001,0.63793,0.46611
74,Vietnam,2015,5.36,75,0.63216,0.7467600000000001,0.59444
75,Turkey,2015,5.332000000000001,76,1.06098,0.73172,0.22815
76,Kyrgyzstan,2015,5.2860000000000005,77,0.47428000000000003,0.65088,0.43477
77,Nigeria,2015,5.268,78,0.65435,0.16007000000000002,0.34334000000000003
78,Bhutan,2015,5.252999999999999,79,0.77042,0.57407,0.5320600000000001
79,Azerbaijan,2015,5.212000000000001,80,1.02389,0.64045,0.3703
80,Pakistan,2015,5.194,81,0.59543,0.51466,0.12102
81,Jordan,2015,5.192,82,0.9019799999999999,0.69639,0.40660999999999997
82,Montenegro,2015,5.192,82,0.9743799999999999,0.72521,0.1826
83,China,2015,5.14,84,0.89012,0.81658,0.5169699999999999
84,Zambia,2015,5.129,85,0.47038,0.29924,0.48827
85,Romania,2015,5.124,86,1.04345,0.7689,0.35068
86,Serbia,2015,5.122999999999999,87,0.92053,0.74836,0.20107
87,Portugal,2015,5.102,88,1.15991,0.8751899999999999,0.51469
88,Latvia,2015,5.098,89,1.11312,0.72437,0.29671
89,Philippines,2015,5.073,90,0.70532,0.58114,0.62545
90,Somaliland region,2015,5.0569999999999995,91,0.18847,0.43873,0.46581999999999996
91,Morocco,2015,5.013,92,0.7347899999999999,0.60954,0.41691000000000006
92,Macedonia,2015,5.007,93,0.91851,0.73545,0.33457
93,Mozambique,2015,4.971,94,0.08308,0.09131,0.34037
94,Albania,2015,4.959,95,0.8786700000000001,0.81325,0.35733000000000004
95,Bosnia and Herzegovina,2015,4.949,96,0.8322299999999999,0.79081,0.09245
96,Lesotho,2015,4.898,97,0.37545,0.07612000000000001,0.31767
97,Dominican Republic,2015,4.885,98,0.8953700000000001,0.66825,0.57672
98,Laos,2015,4.876,99,0.5906600000000001,0.54909,0.59591
99,Mongolia,2015,4.874,100,0.82819,0.60268,0.43626000000000004
100,Swaziland,2015,4.867,101,0.71206,0.07566,0.30658
101,Greece,2015,4.857,102,1.15406,0.88213,0.07699
102,Lebanon,2015,4.8389999999999995,103,1.0256399999999999,0.83947,0.33916
103,Hungary,2015,4.8,104,1.12094,0.75905,0.32111999999999996
104,Honduras,2015,4.788,105,0.59532,0.6951,0.40148
105,Tajikistan,2015,4.7860000000000005,106,0.39047,0.5737899999999999,0.47216
106,Tunisia,2015,4.739,107,0.88113,0.73793,0.26268
107,Palestinian Territories,2015,4.715,108,0.59867,0.66015,0.24499
108,Bangladesh,2015,4.694,109,0.39753,0.60164,0.4082
109,Iran,2015,4.686,110,1.0088,0.69805,0.30033000000000004
110,Ukraine,2015,4.681,111,0.79907,0.6739,0.25123
111,Iraq,2015,4.677,112,0.98549,0.60237,0.0
112,South Africa,2015,4.6419999999999995,113,0.9204899999999999,0.27688,0.33207
113,Ghana,2015,4.633,114,0.5455800000000001,0.40131999999999995,0.42341999999999996
114,Zimbabwe,2015,4.61,115,0.271,0.33475,0.25861
115,Liberia,2015,4.571000000000001,116,0.0712,0.34201,0.28531
116,India,2015,4.565,117,0.64499,0.5152899999999999,0.39786
117,Sudan,2015,4.55,118,0.52107,0.36878,0.10081
118,Haiti,2015,4.518,119,0.26673,0.38847,0.24425
119,Congo (Kinshasa),2015,4.5169999999999995,120,0.0,0.09806000000000001,0.22605
120,Nepal,2015,4.513999999999999,121,0.35996999999999996,0.5687399999999999,0.38282
121,Ethiopia,2015,4.512,122,0.19072999999999998,0.44055,0.4345
122,Sierra Leone,2015,4.507,123,0.33024000000000003,0.0,0.4084
123,Mauritania,2015,4.436,124,0.45407,0.35874,0.24231999999999998
124,Kenya,2015,4.419,125,0.36471,0.41435,0.42215
125,Djibouti,2015,4.369,126,0.44025,0.36291,0.46074
126,Armenia,2015,4.35,127,0.7682100000000001,0.7299,0.19847
127,Botswana,2015,4.332,128,0.99355,0.047760000000000004,0.49495
128,Myanmar,2015,4.3069999999999995,129,0.27108000000000004,0.48246000000000006,0.44017
129,Georgia,2015,4.297,130,0.7419,0.72926,0.40576999999999996
130,Malawi,2015,4.292,131,0.016040000000000002,0.22562,0.43054
131,Sri Lanka,2015,4.271,132,0.83524,0.70806,0.5372600000000001
132,Cameroon,2015,4.252,133,0.4225,0.23401999999999998,0.49309
133,Bulgaria,2015,4.218,134,1.01216,0.76649,0.30587
134,Egypt,2015,4.194,135,0.8818,0.61712,0.17288
135,Yemen,2015,4.077,136,0.5464899999999999,0.40064,0.35570999999999997
136,Angola,2015,4.033,137,0.75778,0.16683,0.10384000000000002
137,Mali,2015,3.995,138,0.26074,0.20583,0.38856999999999997
138,Congo (Brazzaville),2015,3.989,139,0.67866,0.31051,0.41466000000000003
139,Comoros,2015,3.9560000000000004,140,0.23906,0.36315,0.22916999999999998
140,Uganda,2015,3.931,141,0.21101999999999999,0.33860999999999997,0.45726999999999995
141,Senegal,2015,3.904,142,0.36498,0.4354,0.36772
142,Gabon,2015,3.8960000000000004,143,1.06024,0.43372,0.31914000000000003
143,Niger,2015,3.845,144,0.0694,0.29707,0.47691999999999996
144,Cambodia,2015,3.819,145,0.46038,0.61114,0.66246
145,Tanzania,2015,3.781,146,0.2852,0.38215,0.32878
146,Madagascar,2015,3.681,147,0.20824,0.46721,0.19184
147,Central African Republic,2015,3.678,148,0.0785,0.06699,0.48878999999999995
148,Chad,2015,3.667,149,0.34193,0.1501,0.23501
149,Guinea,2015,3.656,150,0.17417,0.24009,0.37725
150,Ivory Coast,2015,3.655,151,0.46534,0.15185,0.46866
151,Burkina Faso,2015,3.5869999999999997,152,0.25811999999999996,0.27125,0.39493
152,Afghanistan,2015,3.575,153,0.31982,0.30335,0.23414000000000001
153,Rwanda,2015,3.465,154,0.22208000000000003,0.42863999999999997,0.59201
154,Benin,2015,3.34,155,0.28665,0.3191,0.4845
155,Syria,2015,3.0060000000000002,156,0.6632,0.7219300000000001,0.15684
156,Burundi,2015,2.905,157,0.0153,0.22396,0.1185
157,Togo,2015,2.839,158,0.20868,0.28443,0.36453
158,Denmark,2016,7.526,1,1.4417799999999998,0.79504,0.5794100000000001
159,Switzerland,2016,7.5089999999999995,2,1.5273299999999999,0.86303,0.58557
160,Iceland,2016,7.501,3,1.42666,0.8673299999999999,0.56624
161,Norway,2016,7.497999999999999,4,1.57744,0.79579,0.59609
162,Finland,2016,7.412999999999999,5,1.40598,0.81091,0.57104
163,Canada,2016,7.404,6,1.44015,0.8276,0.5737
164,Netherlands,2016,7.3389999999999995,7,1.46468,0.8123100000000001,0.55211
165,New Zealand,2016,7.334,8,1.36066,0.83096,0.5814699999999999
166,Australia,2016,7.313,9,1.4444299999999999,0.8512,0.5683699999999999
167,Sweden,2016,7.291,10,1.45181,0.83121,0.58218
168,Israel,2016,7.267,11,1.33766,0.8491700000000001,0.36432
169,Austria,2016,7.119,12,1.45038,0.80565,0.54355
170,United States,2016,7.104,13,1.50796,0.779,0.48163
171,Costa Rica,2016,7.087000000000001,14,1.06879,0.76146,0.55225
172,Puerto Rico,2016,7.039,15,1.35943,0.77758,0.46823000000000004
173,Germany,2016,6.994,16,1.44787,0.81487,0.53466
174,Brazil,2016,6.952000000000001,17,1.08754,0.61415,0.40425
175,Belgium,2016,6.928999999999999,18,1.42539,0.8195899999999999,0.51354
176,Ireland,2016,6.907,19,1.4834100000000001,0.81455,0.54008
177,Luxembourg,2016,6.871,20,1.6975200000000001,0.8454200000000001,0.5487
178,Mexico,2016,6.778,21,1.1150799999999998,0.71143,0.37709000000000004
179,Singapore,2016,6.739,22,1.64555,0.94719,0.4877
180,United Kingdom,2016,6.725,23,1.40283,0.80991,0.50036
181,Chile,2016,6.705,24,1.2167,0.8188300000000001,0.37789
182,Panama,2016,6.7010000000000005,25,1.18306,0.70835,0.48927
183,Argentina,2016,6.65,26,1.15137,0.69711,0.42283999999999994
184,Czech Republic,2016,6.596,27,1.30915,0.76376,0.41418
185,United Arab Emirates,2016,6.5729999999999995,28,1.57352,0.72993,0.56215
186,Uruguay,2016,6.545,29,1.18157,0.72183,0.54388
187,Malta,2016,6.4879999999999995,30,1.30782,0.80315,0.54994
188,Colombia,2016,6.481,31,1.0303200000000001,0.59659,0.44735
189,France,2016,6.478,32,1.39488,0.83795,0.46562
190,Thailand,2016,6.474,33,1.0893,0.64915,0.49553
191,Saudi Arabia,2016,6.379,34,1.48953,0.59267,0.37904
192,Taiwan,2016,6.379,34,1.39729,0.79565,0.32377
193,Qatar,2016,6.375,36,1.82427,0.71723,0.56679
194,Spain,2016,6.361000000000001,37,1.34253,0.8789600000000001,0.37545
195,Algeria,2016,6.355,38,1.05266,0.6180399999999999,0.21006
196,Guatemala,2016,6.324,39,0.83454,0.5403899999999999,0.50379
197,Suriname,2016,6.269,40,1.09686,0.5093300000000001,0.5223399999999999
198,Kuwait,2016,6.239,41,1.61714,0.63569,0.43166000000000004
199,Bahrain,2016,6.218,42,1.44024,0.65696,0.47375
200,Trinidad and Tobago,2016,6.167999999999999,43,1.32572,0.52608,0.48453
201,Venezuela,2016,6.084,44,1.1336700000000002,0.6190399999999999,0.19847
202,Slovakia,2016,6.077999999999999,45,1.27973,0.70367,0.23390999999999998
203,El Salvador,2016,6.068,46,0.8737,0.596,0.37269
204,Malaysia,2016,6.005,47,1.25142,0.62366,0.39031
205,Nicaragua,2016,5.992000000000001,48,0.69384,0.65213,0.46581999999999996
206,Uzbekistan,2016,5.987,49,0.7359100000000001,0.50163,0.60848
207,Italy,2016,5.977,50,1.35495,0.8510200000000001,0.18827
208,Ecuador,2016,5.976,51,0.97306,0.68613,0.4027
209,Belize,2016,5.956,52,0.87616,0.45569,0.51231
210,Japan,2016,5.921,53,1.3800700000000001,0.91491,0.46761
211,Kazakhstan,2016,5.919,54,1.22943,0.57386,0.4052
212,Moldova,2016,5.897,55,0.69177,0.5230899999999999,0.25201999999999997
213,Russia,2016,5.856,56,1.2322799999999998,0.58991,0.32682
214,Poland,2016,5.835,57,1.24585,0.69058,0.4519
215,South Korea,2016,5.835,57,1.35948,0.88645,0.25168
216,Bolivia,2016,5.822,59,0.79422,0.4697,0.50961
217,Lithuania,2016,5.813,60,1.2692,0.64674,0.18929
218,Belarus,2016,5.8020000000000005,61,1.1306200000000002,0.6310399999999999,0.29091
219,North Cyprus,2016,5.771,62,1.31141,0.8414200000000001,0.43596
220,Slovenia,2016,5.768,63,1.2994700000000001,0.79151,0.53164
221,Peru,2016,5.742999999999999,64,0.9960200000000001,0.6299399999999999,0.37501999999999996
222,Turkmenistan,2016,5.6579999999999995,65,1.08017,0.44006000000000006,0.37408
223,Mauritius,2016,5.648,66,1.14372,0.66189,0.46145
224,Libya,2016,5.615,67,1.0668799999999998,0.52304,0.40671999999999997
225,Latvia,2016,5.56,68,1.2178799999999999,0.63952,0.27996
226,Cyprus,2016,5.546,69,1.31857,0.8488,0.29507
227,Paraguay,2016,5.537999999999999,70,0.8937299999999999,0.58295,0.46235
228,Romania,2016,5.528,71,1.1697,0.67602,0.36712
229,Estonia,2016,5.517,72,1.2796399999999999,0.68098,0.41511000000000003
230,Jamaica,2016,5.51,73,0.89333,0.5946899999999999,0.43596999999999997
231,Croatia,2016,5.4879999999999995,74,1.18649,0.70524,0.23906999999999998
232,Hong Kong,2016,5.457999999999999,75,1.5107,0.9527700000000001,0.48078999999999994
233,Somalia,2016,5.44,76,0.0,0.11465999999999998,0.5677800000000001
234,Kosovo,2016,5.401,77,0.90145,0.54,0.14396
235,Turkey,2016,5.388999999999999,78,1.1649200000000002,0.64718,0.23889000000000002
236,Indonesia,2016,5.314,79,0.95104,0.49373999999999996,0.39237
237,Jordan,2016,5.303,80,0.9967299999999999,0.60712,0.36023
238,Azerbaijan,2016,5.291,81,1.12373,0.54504,0.35327
239,Philippines,2016,5.279,82,0.81217,0.47036000000000006,0.5485399999999999
240,China,2016,5.245,83,1.0278,0.73561,0.44011999999999996
241,Bhutan,2016,5.196000000000001,84,0.8527,0.49759,0.46074
242,Kyrgyzstan,2016,5.185,85,0.5604399999999999,0.5544899999999999,0.40212
243,Serbia,2016,5.1770000000000005,86,1.03437,0.6458,0.15718
244,Bosnia and Herzegovina,2016,5.162999999999999,87,0.9338299999999999,0.7076600000000001,0.09511
245,Montenegro,2016,5.1610000000000005,88,1.07838,0.6353300000000001,0.15111
246,Dominican Republic,2016,5.155,89,1.02787,0.5766899999999999,0.52259
247,Morocco,2016,5.151,90,0.8405799999999999,0.5947100000000001,0.25645999999999997
248,Hungary,2016,5.145,91,1.24142,0.67608,0.1977
249,Pakistan,2016,5.132000000000001,92,0.68816,0.40306,0.14622000000000002
250,Lebanon,2016,5.129,93,1.12268,0.76171,0.26228
251,Portugal,2016,5.122999999999999,94,1.27607,0.7936300000000001,0.44727
252,Macedonia,2016,5.121,95,1.0193,0.6473800000000001,0.27668000000000004
253,Vietnam,2016,5.061,96,0.74037,0.66157,0.5595399999999999
254,Somaliland Region,2016,5.0569999999999995,97,0.25558000000000003,0.33108000000000004,0.3913
255,Tunisia,2016,5.045,98,0.97724,0.59577,0.23553000000000002
256,Greece,2016,5.033,99,1.24886,0.80029,0.05822000000000001
257,Tajikistan,2016,4.996,100,0.48835,0.5311899999999999,0.43408
258,Mongolia,2016,4.907,101,0.9885299999999999,0.55469,0.35972
259,Laos,2016,4.876,102,0.68042,0.38291,0.52168
260,Nigeria,2016,4.875,103,0.75216,0.05108,0.27854
261,Honduras,2016,4.871,104,0.69429,0.5838300000000001,0.26755
262,Iran,2016,4.813,105,1.11758,0.64232,0.22544
263,Zambia,2016,4.795,106,0.61202,0.23573000000000002,0.42662
264,Nepal,2016,4.793,107,0.44626000000000005,0.50073,0.37012
265,Palestinian Territories,2016,4.754,108,0.67024,0.56844,0.17744000000000001
266,Albania,2016,4.655,109,0.9553,0.73007,0.31866
267,Bangladesh,2016,4.643,110,0.54177,0.52989,0.39778
268,Sierra Leone,2016,4.635,111,0.36485,0.0,0.30685
269,Iraq,2016,4.575,112,1.07474,0.51076,0.24856
270,Namibia,2016,4.574,113,0.9328700000000001,0.34745,0.48613999999999996
271,Cameroon,2016,4.513,114,0.5249699999999999,0.12697999999999998,0.42736
272,Ethiopia,2016,4.508,115,0.29283000000000003,0.34578000000000003,0.36703
273,South Africa,2016,4.459,116,1.02416,0.18611,0.42483000000000004
274,Sri Lanka,2016,4.415,117,0.9731799999999999,0.62007,0.50817
275,India,2016,4.404,118,0.74036,0.45091000000000003,0.40285
276,Myanmar,2016,4.395,119,0.34112,0.3988,0.42691999999999997
277,Egypt,2016,4.362,120,0.95395,0.5211600000000001,0.18847
278,Armenia,2016,4.36,121,0.8608600000000001,0.64083,0.14037
279,Kenya,2016,4.356,122,0.52267,0.30146999999999996,0.40576
280,Ukraine,2016,4.324,123,0.87287,0.58628,0.12859
281,Ghana,2016,4.276,124,0.63107,0.29681,0.40973000000000004
282,Congo (Kinshasa),2016,4.272,125,0.05661,0.188,0.15602
283,Georgia,2016,4.252,126,0.8379200000000001,0.64035,0.32461
284,Congo (Brazzaville),2016,4.236000000000001,127,0.7710899999999999,0.28212,0.37938
285,Senegal,2016,4.218999999999999,128,0.44314,0.40457,0.31056
286,Bulgaria,2016,4.217,129,1.11306,0.67806,0.21219000000000002
287,Mauritania,2016,4.2010000000000005,130,0.6139100000000001,0.28639000000000003,0.1268
288,Zimbabwe,2016,4.1930000000000005,131,0.35041,0.1595,0.25429
289,Malawi,2016,4.156000000000001,132,0.08709,0.29364,0.4143
290,Sudan,2016,4.138999999999999,133,0.63069,0.29759,0.0
291,Gabon,2016,4.121,134,1.15851,0.3494,0.28098
292,Mali,2016,4.073,135,0.31292,0.16347,0.27544
293,Haiti,2016,4.0280000000000005,136,0.34097,0.27494,0.12072000000000001
294,Botswana,2016,3.9739999999999998,137,1.09426,0.34752,0.44088999999999995
295,Comoros,2016,3.9560000000000004,138,0.27509,0.29980999999999997,0.15412
296,Ivory Coast,2016,3.9160000000000004,139,0.55507,0.04476,0.40663
297,Cambodia,2016,3.907,140,0.55604,0.42494,0.5885199999999999
298,Angola,2016,3.866,141,0.84731,0.04991,0.00589
299,Niger,2016,3.8560000000000003,142,0.1327,0.26161999999999996,0.38040999999999997
300,South Sudan,2016,3.832,143,0.39394,0.15780999999999998,0.19662000000000002
301,Chad,2016,3.763,144,0.42213999999999996,0.038239999999999996,0.12807000000000002
302,Burkina Faso,2016,3.739,145,0.31995,0.21297,0.3337
303,Uganda,2016,3.739,145,0.34719,0.19625,0.43653000000000003
304,Yemen,2016,3.7239999999999998,147,0.57939,0.31048000000000003,0.2287
305,Madagascar,2016,3.695,148,0.27954,0.37109000000000003,0.13684000000000002
306,Tanzania,2016,3.6660000000000004,149,0.47155,0.35700000000000004,0.3176
307,Liberia,2016,3.622,150,0.10705999999999999,0.23165,0.25748000000000004
308,Guinea,2016,3.6069999999999998,151,0.22415,0.18829,0.30953
309,Rwanda,2016,3.515,152,0.32846,0.31865,0.5432
310,Benin,2016,3.484,153,0.39499,0.21028000000000002,0.39747
311,Afghanistan,2016,3.36,154,0.38227,0.17344,0.1643
312,Togo,2016,3.303,155,0.28123000000000004,0.24811,0.34678000000000003
313,Syria,2016,3.069,156,0.7471899999999999,0.6299399999999999,0.06912
314,Burundi,2016,2.905,157,0.06831,0.15747,0.0432
315,Norway,2017,7.537000179290769,1,1.6164631843566901,0.796666502952576,0.635422587394714
316,Denmark,2017,7.52199983596802,2,1.48238301277161,0.7925655245780941,0.626006722450256
317,Iceland,2017,7.50400018692017,3,1.480633020401,0.8335521221160892,0.6271626353263849
318,Switzerland,2017,7.49399995803833,4,1.5649795532226598,0.858131289482117,0.620070576667786
319,Finland,2017,7.468999862670901,5,1.44357192516327,0.80915766954422,0.6179508566856379
320,Netherlands,2017,7.3769998550415,6,1.50394463539124,0.8106961250305179,0.5853844881057739
321,Canada,2017,7.31599998474121,7,1.47920441627502,0.83455765247345,0.611100912094116
322,New Zealand,2017,7.31400012969971,8,1.40570604801178,0.816759705543518,0.6140621304512021
323,Sweden,2017,7.28399991989136,9,1.49438726902008,0.830875158309937,0.612924098968506
324,Australia,2017,7.28399991989136,10,1.4844149351120002,0.84388679265976,0.601607382297516
325,Israel,2017,7.212999820709231,11,1.3753824234008798,0.83840399980545,0.40598860383033797
326,Costa Rica,2017,7.0789999961853,12,1.10970628261566,0.7595092654228209,0.580131649971008
327,Austria,2017,7.00600004196167,13,1.4870972633361799,0.8153284192085269,0.567766189575195
